用户名,评论内容,点赞数,评论时间
李子柒,[爱心],225156,1731476613
小猫猫妙妙角,高产！天呐！能这么多素材，一定是这四年[大哭]你也一直没放弃纪录，没忘记我们，是吧,114792,1731472375
阿耳temis,好喜欢这种岁月静好，专注生活的感觉[鼓掌],77097,1731472726
还酹,"紫气东来瑞兆新，
漆彩生辉映匠心。
子手巧绘麒麟舞，
柒弦琴韵诉衷情。
爱此山居岁月静，
李桃花下酒初成。
子柒归来人皆喜，
柒里飘香满园春。",46992,1731472724
腻大猫,记得第一条视频就是用葡萄皮染裙子,40634,1731472725
坚持2003,中华优秀传统文化万岁,36414,1731472301
一觉几重山,再看到姐姐太感动了，感谢你回来带给我们优秀的作品[给心心],28034,1731472668
惰性气体x_x,听到姐姐元气满满的那句“婆婆我回来了!”，感觉心里很熨帖……,27634,1731472380
YiG_Today,这两年存货真多啊[Mygo表情包_Love],19587,1731472250
库洛米多,怀念这个名字，不仅仅是因为这个名字所表现出的人格魅力以及带给我的文化自信，还怀念曾经那个午后稚嫩的我，放着李子柒的视频学习，有种非常安静的感觉。,19426,1731472482
须香香,中国文化宣传大使 ！再国外文化输出功不可没,16876,1731472459
海盐豆奶eve,难道姐姐要变成日更型UP[doge_金箍][doge_金箍]期待期待[给心心],11662,1731472755
帰尘道人,真好，看着我中华传统文化得到很好的推广，妹妹功不可没加油[给心心][给心心][给心心],10380,1731472441
尤尤碍你,"想送一份祝愿给大家，所以唱了这首歌；
因为想唱这首歌，所以才做了一朵绽放于蜀锦之上的绒花；
我祝福每位看到这个视频的朋友，锦上添花、绽放绚烂，称心如愿、一世荣华！",9037,1731472238
快乐的小飞鱼2022,从小学看到大学的up主！还记得看的你的第1个视频是拿棕榈叶编篮子，真的超级喜欢你，超级开心你能回来！希望毕业之后也能过上这样田园的生活！祝以后越来越好[打call],7194,1731472623
ntkoooo,看到更新了[星星眼]看到软体动物[惊讶]看到缫丝做衣服[OK][打call],6307,1731472622
蒲星星点灯ing,天呐，两天三个视频，好幸福[喜极而泣],5727,1731472692
煎饼果子送原画,我的电子田园生活又回来了！连看两天太美妙了[喜欢],4469,1731472638
呆话西游,子柒子柒，你好。终于又等到你了[给心心][给心心][给心心],3325,1731472617
