用户名,评论内容,点赞数,评论时间
宝批龙先生,我这就去把室友上铺拆了[OK],14850,1622904153
天气太热了想回地府,总有人说子柒拍的不是真正的农村生活，特别假什么的。可我认为子柒是有自己的一套美学的，哪怕是没有什么积蓄的我，也不仅仅是吃饱穿暖而已，种花养观赏鱼虾（养点最普通的不会花很多钱）用低成本改造出租屋，鼓捣简单美味的食物，给猫猫DIY餐桌小窝猫爬架都是日常。人在能力范围之内追求美和舒适不是本能吗？为什么总有人认为不搞花里胡哨不在乎形象才是真实？,9323,1622916386
骨头没有持方,"有文化:曲水流觞
没文化:流水席[妙啊]",9288,1622941821
穷绿之北,"其实最让我感动的是中间装饰的部分没有选择用塑料花，也没有选择插一次性的花，而是认认真真的用了泥土去照顾从山中移植来的植物们
而这，才是从头到尾的真实吧
最后表白柒姐，展现出来的整一个过程看似不难，但谁又有这个动手能力呢[脱单doge]",9192,1622905876
一夜望尽长安花_,子柒姐姐你在哪啊，电话不接，消息不回，我一个人带着碗筷在山里迷路了，现在天都黑了呜呜呜好害怕[哭泣],7445,1622911115
洗碗机的救赎,"此地有崇山峻岭，茂林修竹，又有清流激湍，映带左右，引以为流觞曲水，列坐其次。虽无丝竹管弦之盛，一觞一咏，亦足以畅叙幽情。
——《兰亭集序》",7281,1622904150
炒饭吖,上次看弹幕里有人说，就这个桌子就得好几万，这就是有钱人的生活。这期视频姐姐就来啪啪打脸。就问:疼不疼？疼不疼？[吃瓜],7281,1622977267
账号已注销,流觞曲水是文人雅士聚会的一种游戏，觞停在谁面前就要赋诗一首否则就要罚酒的，史上有一次最著名的聚会就用到流觞曲水这个游戏，并诞生了著名的兰亭序。,3819,1622962652
夏暮野川,向往的生活花那么多钱没拍出的节目立意，在这里每一期20分钟左右的内容就可以看到，这才是我向往的生活，美好而遥远。,3552,1622976240
猫猫归大树,嬛嬛你还有什么是朕不知道的,3385,1622908155
ミ猫猫❤喵喵彡,"小仙女，9:41 这颗多肉，是药锦，专坑新手的，中间的白色是因为打了除草剂，这种多肉很快就会死的。
以后买多肉，不要买这种中间颜色不自然，发白发红的品种。",2389,1622911827
喂你一包糖,很喜欢子柒姐姐的视频，上个月换了新工作，去了新公司，本来还跟同事话题不多的，以为融入不了的。直到上周，吃饭时候周围两三个同事都在刷姐姐的视频，瞬间就有了共同话题，然后越聊越多人加入，瞬间就相互熟悉，大家一下子就熟络亲切了许多！没想到会是以这样的方式融入新公司的，很感谢姐姐的视频分享，感谢姐姐带给我我们美的享受，也愿大家生活安逸[给心心][给心心][给心心],2207,1622904584
GoldenBubbles,b站有专门翻译油管上外国人评论的，你可以去看看，他们都知道这只是类似于西方农场的生活，还有很多人嗯表示以后老了也去农场自给自足，国家在科技这方面的宣传也很到位，外国该知道的都知道。国外也有很多这样回归自然的人，最有名的就是塔莎奶奶，并不存在通过子柒觉得中国全都是农村。,2054,1622951787
刺青之声love零,上个视频还有人说2万起步，好家伙自己做的,1908,1622917154
面包王1789,不是回转寿司！！！这是中国的曲水流觞！！！,1526,1622907194
王迷糊121,好家伙，这是集瓦匠，木匠，水利，盆景，茶艺，厨师，人文…………于一身了！[喜欢],1424,1622905831
一花一叶醉陶然,上一期还在想桌子是不是也是自己做的呢，这一期就出来了,1381,1622903944
柒莯丶,不是农村生活不这样，而是大部分农村人不会这样，大部分人没有这个闲情雅致来陶冶情操，大部分人都选择空闲时刷抖音快手这些小视频，还有打牌闲聊，要是中国的农村都能像李子柒视频这样，那不知道是多少时代后了，精神、物质都达到高度发展，就不会觉得农村就是脏累差的形象了,1370,1623144309
励晟铭,把李子柒姐姐带到无人岛上，估计她能造出一个摩尔庄园出来[doge]！,1290,1623086191
看烟花去啦,姐姐你太牛了，那个桌子太棒了也，我毕业设计就是做家具的，我太知道茶桌这类的多费劲了，我看完视频真的快跪了，不过我动手能力差的很，全程都是找木匠铁匠师傅做，全程就动手给桌面上过色太菜了哈哈，等我以后有机会了也要弄这个桌子哈哈哈[喜极而泣],1060,1622908224
优架洋,弹幕许愿的 有这个功夫多去看看书不好吗？太影响观感了！人家看视频是为了看up，谁关心你们上哪个大学又什么心愿啊？什么心智的人没完没了的做这些事啊？,996,1622977491
MorningBirds,上语文课学习《兰亭集序》的时候就在想象“流觞曲水，列坐其次”是什么样的景象[星星眼],943,1622904036
椒麻不焦,"看老李视频步骤如下：[doge]
1.一键三连
2.关闭弹幕
3.掏出耳机插起
4.横屏并调整清晰度音量至最佳
5.将进度条拖至最开头
6.完整观看一边之后再次开启弹幕并重播贡献有价值弹幕【狗头】
[微笑][微笑][微笑][微笑][微笑][微笑]",634,1622906372
一隻の舟,我的天，上一期有人弹幕说，查了这个桌子几万块，我还信了，我心想这么有钱的嘛就喝喝茶，结果现在跟我说是做的[尴尬],534,1622911597
发麻麻的乖宝贝,李子柒！特别想告诉你，我遇到了一个和你一样阳光善良可爱的女孩，她能治愈我[鼓掌]，让我感受到温暖！！！所以，那个。。。往后我就不投币了啊[doge],453,1622903897
bili_1294376428,"「引以为流觞曲水，列坐其次。虽无丝竹管弦之盛，一觞一咏，亦足以畅叙幽情。」
所谓教育的意义就是但凡上过高中都应该会背《兰亭集序》吧[doge]",360,1622970175
Glass_BlackCatt,"都来这么早啊，赶紧找个位子坐
💺💺💺💺💺💺💺💺
💺💺💺💺[妙啊]💺💺💺
💺💺💺💺💺💺💺💺
💺💺💺💺💺💺💺💺",350,1622910503
相约相守到天边,陌生人，马上要高考了，可这跟我一个大学生有啥关系呢[doge],287,1622905949
是倾故呀,"考点：①【曲水流觞】此地有崇山峻岭，茂林修竹，又有清流激湍，映带左右，引以为流觞曲水，列坐其次。虽无丝竹管弦之盛，一觞一咏，亦足以畅叙幽情。——《兰亭集序》
         ②中国茶文化
        ③中国传统文化的发展
       ④柒姐
[妙啊]",271,1622911147
鄂西佬男孩,"给子柒写了首藏头诗

我
爱
子
柒

咦，我的藏头诗为什么看不见，原来我对子柒的喜爱根本藏不住[给心心][给心心][给心心][傲娇][傲娇][傲娇][傲娇][傲娇]",263,1622905732
别动我治疗,哈哈哈哈哈哈哈，居然有人不知道曲水流畅，看来是真没好好上课，哈哈哈哈哈哈哈哈哈,245,1622972999
哎柚柚233,"多肉和苔藓是两种根本习性不同的植物，大多数情况下是无法一起养的。

但并不是每一种多肉不爱水不爱阴，而也不是每一种苔藓都喜欢水都不爱阳光。

只要找对了他们相互匹配的品种用合理方式养护，他们也可以和谐相处，放在一起生长。[打call]",226,1622910747
一花一叶醉陶然,我第一次这么前！！！！！,221,1622903813
GG意料之外,都在说什么美学什么的。我只看到李子柒做木工的熟练度以及手法，不敢讲是大师傅，但至少在行。什么美学都比不了这个。生活的自然。不知道你们几个懂的？艺术源于生活。活不明白什么都是假的。现代都市生活习惯用钱解决问题。但是我们的父辈们都习惯于动手制作。我都记得父亲常说“亲历亲为”“人不到不为财”。现在还多少年轻人听到呢？李子柒的魅力在于她亲历亲为的去学去做了。让生在都市的人感受到了亲历亲为得到的，收获的喜悦以及满足感。,201,1623046910
别骂了再骂人要骂傻了,姐姐，我好累，刚才又因为鸡毛蒜皮的小事发火，气一上来又在哭，可我只认真哭了五分钟，因为我过段时间要中考，我还有卷子没写完。哭哭啼啼地写，写着写着就忘了哭了。视频看了一半，还要背书，剩下的一半当睡前读物啦，姐姐的视频总能让人莫名其妙安心。好羡慕姐姐能过自己想过的生活，我也希望我可以有权利选自己想过的生活。希望我们都可以到达想去的地方[给心心],194,1622908706
GoldenBubbles,这不是传统文化与现代工艺相结合吗？曲水流觞+现代的电力水泵，使得只能靠溪流活水的曲水流觞得以活动自由，既能当茶桌，也能当饭桌。后面的茶类美食也都是能吃的啊，没有觉得华而不实，都是实用好吃的，比现代那些矫情的老树根茶桌好多了，还宣扬了传统文化。,194,1622952098
joht_JS,弹幕真的奇奇怪怪的，前面做那个曲水流觞的桌子，分明用钉子做的，不是榫卯结构，弹幕一堆人在那榫卯榫卯，最后柒哥他们玩飞花令，就一个弹幕都没有人说的。喜欢传统文化是好事，但不要知道一个词就在不相干的地方狂刷。,189,1622949593
燕语悦读,[打call]这绝对是子柒今年目前为止的视频中我最喜欢的一个！！看上个视频时就被花圃花墙们和流觞曲水桌夺去了目光！！！没想到这桌子真的是子柒自己做的！！！看到子柒堆假山做微缩景观时真的感动得眼眶红了，为智慧为勤劳为文化自信[爱心],173,1622906145
GauzePadsss,去某管看了一下评论，看到大家都在夸我李姐心满意足回来了哈哈哈,163,1622917083
必有妖人指点,"永和九年，岁在癸丑，暮春之初，会于会稽山阴之兰亭，修契事也。群贤毕至，少长咸集，此地有崇山峻岭，茂林修竹，又有清流激湍映带左右，引以为流觞曲水，列坐其次。虽无丝竹管弦之盛，一觞一咏，亦足以畅叙幽情。
古人仿照驱邪祈福风俗，三五好友沿小溪列坐，置酒杯于溪中，顺流而下，停于谁前，此人便将杯中酒一饮而尽。直至尽兴而归。
后世文人在饮酒同时，还得赋诗一首，或是互相咛诗作对，抒发胸臆，增进情义，同时抒发文采报复。
将之比做仅有填报肚子之用的活动，简直荒谬。
多了解历史，才会为自己能生在中国，认得汉字，识得诗词，赏的风月而自豪，",161,1622975304
小时不小时,啊啊啊哈哈哈我来了看完这个就睡觉祝自己高考加油成功上岸！！！女神女神千万保佑保佑,135,1622904772
特玛托队长,"准备抄袭的人:抄不来抄不来[捂脸]
溜了溜了[囧]",134,1622942310
kim和shego,@手工耿 进来学习[doge],129,1622907959
在等你靠近,希望高考一切顺利[给心心],109,1622904470
逆水寒手游-倾书,第一次这么近！！！我想上个热评！然而情商限制了我的发挥 那就祝姐夫们心想事成 身体健康[妙啊][妙啊][妙啊],99,1622904256
猫噢嗷咪,最近看到hgr直接抄袭中国古风发型了，那种头包起来还有花的和明代服饰一起搭配的头发梳起来绑在侧边的很温婉的发型。古装剧，江南什么的很常见的，他们都要偷了。本来除了辫子他们没有跟中国类似的发型了，而且很多是靠古代发型发展出来的架空古风。,91,1622974797
面朝大海_喝旺仔,仙女下凡[鼓掌],90,1622903783
