昵称,地区,时间,评论内容,点赞数
可乐不加&冰,未知地区,2021/9/11 23:46,刚刷到一个视频说李子柒消失了，赶紧过来看看,121154
哒咩,未知地区,2022/2/8 15:03,有人是突然想到她然后回来看的吗？[色],54644
小志先生～,未知地区,2021/9/8 17:25,大家是喜欢她人呢，还是做菜呢[呲牙],15666
笑看人生,未知地区,2024/11/14 19:27,官宣了，人民日报已报到了[鼓掌][鼓掌][鼓掌],12949
天晴的城市～,未知地区,2021/9/8 17:28,我的愿望，去子柒家吃顿饭[捂脸],11030
@花千骨💃🏻,未知地区,2024/10/26 20:48,"听说李子柒复出了？是真的吗？[暗中观察]
抖音真神奇，我等24年10月25日后的人[灵机一动]",9014
宠物犬繁殖,未知地区,2021/9/19 0:38,李子柒螺蛳粉真是李子柒做的吗[抠鼻],7921
鹤与十一,未知地区,2023/10/8 12:04,2023年10月8日，我又来看你了,6247
@T.M,未知地区,2024/5/11 23:40,现在是24年5月,4996
太阳天蝎,未知地区,2022/3/8 1:03,2022年3月7号，还有人等更新吗？,4825
人到中年,未知地区,2022/4/27 13:08,今天是2022年4月27日，还有人在等更吗？,4741
嘉博麻麻,未知地区,2021/9/8 17:26,子柒好久没发新作品了[比心],4667
蓉❤️,未知地区,2021/9/11 23:13,刚刷到了一个视频说子柒报警了48天没更新，我赶紧过来看看,4526
💋宸羽宝貝成长记💋,未知地区,2021/9/12 19:51,有没有和我一样刷到说消失了，特意过来看看有没有更新[呲牙],3891
白纸      🌈,未知地区,2021/9/8 17:38,人间烟火气，最抚凡人心[泣不成声],3704
🌈世界者🌈,未知地区,2024/11/17 17:31,2024了我就不信现在还有回头客 [微笑],3191
tcc-30୧⍤⃝🏸,未知地区,2024/10/27 23:30,:现在不可能有人刷到了，有我直接吃[微笑],2874
Changer,未知地区,2021/9/14 22:36,刚刷到视频说团队被李亚鹏端了，特意过来看看，还好虚惊一场[泣不成声]。作为绵阳女婿，也是家门儿。继续支持,2710
