id,screen_name,text_raw,like_counts,total_number,created_at
5.10024E+15,李子柒,图片评论 http://t.cn/A6nE9iXA,34575,2307,Wed Nov 13 13:41:37 +0800 2024
5.10023E+15,sixty-four,姐姐姐姐你的空镜都好美好美啊，你们一定走了很远的路等了很久才拍到这么美的景色[泪] http://t.cn/A6nE6q0X,14758,272,Wed Nov 13 12:35:30 +0800 2024
5.10023E+15,姬方凌,李子柒这几条视频，一下就把国风赛道卷到新高度了 word天呐🥺,11662,106,Wed Nov 13 12:47:30 +0800 2024
5.10023E+15,番茄小锦鲤吖,欢迎你回来！！！很喜欢你！！,5984,31,Wed Nov 13 12:30:51 +0800 2024
5.10023E+15,柒家油菜花,子柒所展现的不仅是她个人的魅力，更是中国五千年文化的沉淀。她让人们看到，文化输出并不只是简单的信息传播，而是需要情感的投入与生活的实践。她通过自己的努力，让传统文化在全球化的浪潮中占据了一席之地。,5382,35,Wed Nov 13 12:31:31 +0800 2024
5.10023E+15,一切语言在色盲间锈迹斑斑地遗失,太好了，是李子柒！我们有救了！,3570,22,Wed Nov 13 12:33:08 +0800 2024
5.10023E+15,左眼呈过去,惊！知名文化宣传大使消失四年，归来仍是顶流,2967,16,Wed Nov 13 12:30:45 +0800 2024
5.10037E+15,锦上添花花花酱,听说您学蜀绣的师傅是孟德芝老师，之前以闪亮之名的蜀绣元素也是和孟老师联动，您这能不能和以闪亮之名联动呀！！同门师姐妹！！！,2703,7,Wed Nov 13 21:42:18 +0800 2024
5.10025E+15,奶茶甜度加满-,上次柒姐唱消愁，听哭了，这次听柒姐唱如愿，又泪流满面了，好感动啊。,2187,59,Wed Nov 13 13:54:01 +0800 2024
5.10025E+15,饭圈跳级生,盛开在衣服上的绒花，不愧是李子柒真的好有想法，另外，她唱歌也太好听了吧！,1961,36,Wed Nov 13 13:53:41 +0800 2024
5.10023E+15,_疏影水清浅_,哇！姐好高产！喜欢喜欢[心],1542,15,Wed Nov 13 12:31:27 +0800 2024
5.10023E+15,梓州老农,这花绽放的瞬间……简直…… 还是你们来形容吧 http://t.cn/A6nE6jgY,1354,113,Wed Nov 13 12:40:28 +0800 2024
5.10023E+15,梓州老农,啊～又㕛叒更新了[烟花][哇][哇]，这速度像过年一样。——看到她做手工，总觉得那是她独有的世界，那种专注和细腻，是别人无法模仿的独特魅力。 http://t.cn/A6nEidaz,1125,8,Wed Nov 13 12:31:15 +0800 2024
5.10028E+15,里里休,反手回小破站发弹幕许愿了，弹幕墙必须有我,839,6,Wed Nov 13 15:50:21 +0800 2024
5.10023E+15,一个小白羊咩咩,柒姐，还有多少存货，快快发出来，[doge],697,16,Wed Nov 13 12:35:49 +0800 2024
