id,screen_name,text_raw,like_counts,total_number,created_at
4.65894E+15,李子柒,想送视频里那个自贡的井盐给你们，但量不够200多份！。所以这个视频福🌰还是送别的！这条微博的转评赞里抽277个小朋友每人送2盒四川风味的酸辣粉吧！我这会儿有点饿，看啥都想吃、恨不得咬人了都… http://t.cn/A6fW6gJ0,11203,2346,Wed Jul 14 19:18:24 +0800 2021
4.65894E+15,李子柒,去自贡看了盐的博物馆，之感叹！我们的祖辈真的很聪明，他们在1835年的时候，就能凭借原始技术打出1000米笔直的盐井，提出卤水和天然气 用于熬煮食盐，🐂是真的🐂 http://t.cn/A6fWXPEW,7746,526,Wed Jul 14 19:20:12 +0800 2021
4.65894E+15,李子柒,就是视频里那个井盐，77份！评论里送掉！虽然不是特别贵的礼物，但那口在1835年就打到1000米的燊海井却有着珍贵的智慧结晶、就当成一份‘有能量的好运气”吧！分享给你们！ http://t.cn/A6fWX9Ih,6740,2622,Wed Jul 14 19:27:20 +0800 2021
4.65895E+15,柒家云鹤123,阿姐阿姐，快看我家崽崽，满月了喔 http://t.cn/A6fWS4eQ,6607,126,Wed Jul 14 19:51:37 +0800 2021
4.65895E+15,黎黎檬子,烟火气里笑得很开心的，这个画面感觉很温暖婆婆 http://t.cn/A6fWaM89,3803,39,Wed Jul 14 19:39:18 +0800 2021
4.65895E+15,烤冷面为什么不叫烤热面,真的有被笑到[允悲]，手打牛肉丸，弹性堪比兵乓球 http://t.cn/A6fWariO,2933,128,Wed Jul 14 19:46:40 +0800 2021
4.65894E+15,sixty-four,好甜！甜妹！[舔屏][舔屏][舔屏] http://t.cn/A6fW61t6,2270,69,Wed Jul 14 19:17:25 +0800 2021
4.65895E+15,独木成林902,哈哈哈，很抢镜了 http://t.cn/A6fWSv6G,1957,197,Wed Jul 14 19:48:34 +0800 2021
4.65895E+15,黎黎檬子,门前都是向日葵真的爱了啊 http://t.cn/A6fWaSlH,1461,36,Wed Jul 14 19:40:50 +0800 2021
4.65894E+15,林柚卿啊,啊啊啊啊啊啊啊姐姐姐姐姐姐[憧憬][憧憬][憧憬]姐姐真好看[憧憬][憧憬] http://t.cn/A6fW6nLt,1092,35,Wed Jul 14 19:16:24 +0800 2021
4.65894E+15,sixty-four,从电瓶车到三轮车，姐终于开上汽车啦[酷] http://t.cn/A6fW6g2T,1083,144,Wed Jul 14 19:18:20 +0800 2021
4.65894E+15,醉里挑灯看剑常记溪亭日暮,啥都能自己造，等芯片那集[doge],980,45,Wed Jul 14 19:15:29 +0800 2021
4.65896E+15,LaoYAO物,瞧瞧这默契～同款姿势get！[偷笑][doge]@李子柒 http://t.cn/A6fW9dMd,861,34,Wed Jul 14 20:43:57 +0800 2021
4.65895E+15,Jinny_sun,穿这件衣服时动作咋都那么优雅[doge]哈哈下一秒感觉你就“女汉子”属性就出来了[doge] http://t.cn/A6fWayq8,519,26,Wed Jul 14 19:36:38 +0800 2021
4.65894E+15,sixty-four,好久不见 好想你呀[爱你] http://t.cn/A6fW6T4V,482,20,Wed Jul 14 19:15:02 +0800 2021
